id,nederlands
1,aapje
2,aarde
3,abuis
4,acryl
5,actie
6,acuut
7,abdij
8,aders
9,afdek
10,afdoek
11,afkap
12,aflak
13,afrij
14,afvis
15,afwasa
16,afzag
17,afzak
18,amigo
19,amper
20,amuse
21,azijn
22,baden
23,badge
24,bagel
25,baart
26,baalt
27,baals
28,bacon
29,baboe
30,banen
31,barak
32,baren
33,batch
34,baton
35,beaam
36,beaat
37,bedek
38,beden
39,bedje
40,beide
41,begin
42,beurt
43,bever
44,bewas
45,bijen
46,cacao
47,casts
48,capos
49,canon
50,cargo
51,chats
52,check
53,chefs
54,chili
55,chips
56,close
57,claim
58,cijns
59,codex
60,codes
61,cocon
62,crews
63,crawl
64,crack
65,crime
66,curry
67,dacht
68,daden
69,dader
70,dagge
71,dagje
72,daken
73,dakje
74,datet
75,dates
76,daver
77,debug
78,debet
79,debat
80,dazen
81,deels
82,deden
83,demon
84,dempt
85,denim
86,deint
87,dille
88,diezer
89,diner
90,dogma
91,dizzy
92,ebola
93,echel
94,echte
95,edele
96,eider
97,egaal
98,egels
99,eiwit
100,elfje
101,emmes
102,engst
103,enger
104,enige
105,enorm
106,ernst
107,erfde
108,ernst
109,enter
110,enzym
111,ervan
112,ethyl
113,ether
114,essay
115,farce
116,farde
117,fabel
118,faket
119,faces
120,farao
121,files
122,ferry
123,field
124,flair
125,flans
126,focus
127,fokte
128,floep
129,friet
130,frist
131,forse
132,fusie
133,fysio
134,fylum
135,furie
136,gamba
137,gamet
138,ganse
139,gaart
140,gaffe
141,gaine
142,galei
143,gebot
144,gedij
145,geduw
146,gebak
147,gebit
148,geduw
149,gefit
150,genas
151,genot
152,gerot
153,gerst
154,getto
155,gever
156,gidst
157,gloei
158,gnuif
159,gnoom
160,gleuf
161,hakte
162,halen
163,hands
164,hamer
165,hangt
166,haven
167,hazen
168,hecht
169,heden
170,harig
171,hemde
172,henry
173,hertz
174,helft
175,helix
176,icing
177,idees
178,idool
179,ieder
180,ijzel
181,ijsje
182,indut
183,inbed
184,index
185,inleg
186,inval
187,inpen
188,input
189,inruk
190,inzat
191,inzak
192,jalon
193,jambe
194,jankt
195,jabot
196,jacht
197,jagen
198,jaste
199,jatte
200,jalap
201,jetje
202,jodel
203,jeton
204,joelt
205,joept
206,jelui
207,jopen
208,joker
209,jonen
210,jouwt
211,jubel
212,juten
213,jutte
214,kaffa
215,kabas
216,kabel
217,kader
218,kalot
219,kamde
220,karos
221,karot
222,kaper
223,kapje
224,kaste
225,kater
226,kapte
227,kauri
228,kauwt
229,kavel
230,keilt
231,keert
232,kenia
233,keurs
234,kiest
235,keuze
236,laars
237,label
238,lader
239,lakei
240,laser
241,lasso
242,laten
243,leder
244,lease
245,lente
246,lesbo
247,lepel
248,later
249,laven
250,logde
251,lobby
252,loden
253,loeit
254,loser
255,lucht
256,maagd
257,major
258,macro
259,madam
260,mager
261,malta
262,massa
263,match
264,matig
265,mazen
266,melig
267,micro
268,meeuw
269,model
270,modem
271,modes
272,morel
273,naald
274,nabij
275,nagel
276,nanny
277,navel
278,neger
279,nepal
280,niche
281,nicht
282,nieuw
283,nobel
284,nodig
285,noren
286,nylon
287,oasis
288,okapi
289,olijf
290,omleg
291,omrit
292,omdat
293,onwel
294,opdat
295,opduw
296,opens
297,oraal
298,oscar
299,ovaal
300,ouder
301,panna
302,paard
303,paddo
304,panty
305,pasta
306,party
307,pauze
308,plaag
309,plank
310,poker
311,polen
312,plurk
313,proxy
314,priel
315,prijs
316,prima
317,print
318,puppy
319,puree
320,punch
321,quant
322,quark
323,quote
324,quilt
325,radio
326,rabbi
327,rambo
328,rally
329,raket
330,rrapte
331,ratje
332,regio
333,relax
334,remix
335,rente
336,riant
337,ritus
338,rodeo
339,rogge
340,roker
341,ruma
342,roven
343,ruzie
344,salmi
345,salsa
346,samen
347,sapje
348,saldo
349,salie
350,sauna
351,schaf
352,schap
353,schot
354,schor
355,serie
356,sfeer
357,sfinx
358,sigma
359,shirt
360,short
361,slash
362,slokt
363,smakt
364,snoer
365,snuit
366,taaie
367,rabak
368,tabel
369,ranks
370,talen
371,tante
372,tarwe
373,teder
374,teddy
375,tesla
376,tempo
377,terug
378,thema
379,thuis
380,timen
381,tikje
382,toets
383,toast
384,tonic
385,torso
386,train
387,tumor
388,trots
389,ultra
390,uiers
391,uniek
392,unies
393,urnen
394,vanaf
395,valst
396,veter
397,viert
398,villa
399,vinyl
400,viool
401,virus
402,vleug
403,vogel
404,vlijm
405,vloed
406,vries
407,vrede
408,wagon
409,waker
410,walgt
411,wales
412,water
413,watje
414,wazen
415,weert
416,werkt
417,wemel
418,welke
419,wijze
420,wodka
421,wraps
422,worst
423,xenon
424,xeres
425,yairs
426,yucca
427,zadel
428,zacht
429,zalft
430,zamel
431,zenuw
432,zieke
433,ziezo
434,zetel
435,zeven
436,zeurt
437,zodra
438,zinkt
439,zwaan
440,zweef
441,zwart
442,zwijn
443,zwoel
444,zweel
445,zurig
