id,nederlands
1,abuis
2,acryl
3,amuse
4,badge
5,beaam
6,bijen
7,cargo
8,check
9,codex
10,curry
11,dader
12,debat
13,demon
14,ebola
15,eiwit
16,enorm
17,fabel
18,farao
19,ferry
20,hamer
21,hamer
22,haven
23,ijzel
24,index
25,jacht
26,jeton
27,kader
28,keuze
29,label
30,lease
31,maagd
32,model
33,nagel
34,nicht
35,nylon
36,oasis
37,olijf
38,oscar
39,paard
40,plank
41,puppy
42,quant
43,quark
44,radio
45,rambo
46,remix
47,schap
48,sfinx
49,tabel
50,trots
51,ultra
52,uniek
53,vanaf
54,veter
55,waker
56,wijze
57,xenon
58,yucca
59,zadel
60,zodra
